0,1,2,3,4,5
Blessed Mother Teresa,3.9,606/689,Toronto,,
Blessed Trinity,8.2,52/689,Grimsby,,
Bloor,8.5,26/689,Toronto,,
Bluevale,7.4,154/689,Waterloo,,
Bowmanville,6.6,273/689,Bowmanville,,
Bracebridge and Muskoka Lakes,6.6,273/689,Bracebridge,,
Bradford,6.9,227/689,Bradford,,
Brantford,5.9,394/689,Brantford,,
Brebeuf,6.1,357/689,Toronto,,
Brock,4.8,531/689,Cannington,,
Brockville,7.3,167/689,Brockville,,
Brookfield,5.6,443/689,Ottawa,,
Brooklin,7.2,181/689,Whitby,,
Bruce Peninsula,6.4,305/689,Lion's Head,,
Bur Oak,8.8,15/689,Markham,,
Burlington Central,7.8,87/689,Burlington,,
Béatrice-Desloges,6.9,227/689,Orléans,,
C W Jefferys,3.9,606/689,Toronto,,
Cairine Wilson,7.3,167/689,Ottawa,,
Cameron Heights,7.6,120/689,Kitchener,,
Campbellford,4.4,575/689,Campbellford,,
Cardinal Ambrozic,6.8,246/689,Brampton,,
Cardinal Carter,7.6,120/689,Aurora,,
Cardinal Carter,7.7,102/689,Leamington,,
Cardinal Carter-Arts,8.9,12/689,Toronto,,
Cardinal Leger,6.4,305/689,Brampton,,
Cardinal Newman,5.3,480/689,Toronto,,
Cardinal Newman,6.5,288/689,Stoney Creek,,
Carleton Place,6.8,246/689,Carleton Place,,
Cathedral,3.2,637/689,Hamilton,,
Catholic Central,2.3,660/689,Windsor,,
Catholic Central,5.7,425/689,London,,
Cayuga,4.6,552/689,Cayuga,,
Cedarbrae,5.4,471/689,Toronto,,
Centennial,5.7,425/689,Welland,,
Centennial,8.6,22/689,Guelph,,
Centennial,4.8,531/689,Belleville,,
Central,2.7,651/689,Toronto,,
Central Algoma,4.2,587/689,Desbarats,,
Central Commerce,7,210/689,Toronto,,
Central Elgin,6.8,246/689,St Thomas,,
Central Huron,5.7,425/689,Clinton,,
Centre Dufferin,5.4,471/689,Shelburne,,
Centre Hastings,3.7,615/689,Madoc,,
Centre Wellington,6.7,260/689,Fergus,,
Chaminade,5.6,443/689,Toronto,,
,,,,,
,,,,,
"A B Lucas
                Score:7.6Rank:120/689add_circleAdd to compare",,,,,
"A N Myer
                Score:7.5Rank:138/689add_circleAdd to compare",,,,,
"A Y Jackson
                Score:7.9Rank:77/689add_circleAdd to compare",,,,,
"A.Y. Jackson
                Score:8.2Rank:52/689add_circleAdd to compare",,,,,
"Abbey Park
                Score:8.5Rank:26/689add_circleAdd to compare",,,,,
"Acton
                Score:6Rank:378/689add_circleAdd to compare",,,,,
"Adam Scott
                Score:5.4Rank:471/689add_circleAdd to compare",,,,,
"Agincourt
                Score:8.3Rank:41/689add_circleAdd to compare",,,,,
,,,,,
,,,,,
"Champlain
                     2021 - 22 Score3.8 2021 - 22 Rank611/689CityChelmsfordAdd to compare",,,,,
"Charlottenburgh and Lancaster
                     2021 - 22 Score6.5 2021 - 22 Rank288/689CityWilliamstownAdd to compare",,,,,
"Chatham-Kent
                     2021 - 22 Score6.4 2021 - 22 Rank305/689CityChathamAdd to compare",,,,,
"Chelmsford Valley
                     2021 - 22 Score2 2021 - 22 Rank669/689CityChelmsfordAdd to compare",,,,,
"Chippewa
                     2021 - 22 Score4.2 2021 - 22 Rank587/689CityNorth BayAdd to compare",,,,,
"Christ the King
                     2021 - 22 Score7.1 2021 - 22 Rank194/689CityGeorgetownAdd to compare",,,,,
"Cité des Jeunes
                     2021 - 22 Score5.9 2021 - 22 Rank394/689CityKapuskasingAdd to compare",,,,,
"Clarington Central
                     2021 - 22 Score5.9 2021 - 22 Rank394/689CityBowmanvilleAdd to compare",,,,,
"Clarke
                     2021 - 22 Score6.6 2021 - 22 Rank273/689CityNewcastleAdd to compare",,,,,
"Clarke Road
                     2021 - 22 Score3.5 2021 - 22 Rank624/689CityLondonAdd to compare",,,,,
"Cobourg
                     2021 - 22 Score6.4 2021 - 22 Rank305/689CityCobourgAdd to compare",,,,,
"Cochrane
                     2021 - 22 Score2.6 2021 - 22 Rank652/689CityCochraneAdd to compare",,,,,
"College Avenue
                     2021 - 22 Score3.5 2021 - 22 Rank624/689CityWoodstockAdd to compare",,,,,
"College Heights
                     2021 - 22 Score0 2021 - 22 Rank685/689CityGuelphAdd to compare",,,,,
"Collingwood
                     2021 - 22 Score6.5 2021 - 22 Rank288/689CityCollingwoodAdd to compare",,,,,
"Collège Français
                     2021 - 22 Score7.8 2021 - 22 Rank87/689CityTorontoAdd to compare",,,,,
"Collège Notre-Dame
                     2021 - 22 Score4.4 2021 - 22 Rank575/689CitySudburyAdd to compare",,,,,
"Colonel By
                     2021 - 22 Score9.5 2021 - 22 Rank2/689CityGloucesterAdd to compare",,,,,
"Confederation
                     2021 - 22 Score5.8 2021 - 22 Rank409/689CityVal CaronAdd to compare",,,,,
"Confédération
                     2021 - 22 Score7.6 2021 - 22 Rank120/689CityWellandAdd to compare",,,,,
"Cornwall
                     2021 - 22 Score3.3 2021 - 22 Rank633/689CityCornwallAdd to compare",,,,,
"Corpus Christi
                     2021 - 22 Score7.8 2021 - 22 Rank87/689CityBurlingtonAdd to compare",,,,,
"Courtice
                     2021 - 22 Score5.9 2021 - 22 Rank394/689CityCourticeAdd to compare",,,,,
"Craig Kielburger
                     2021 - 22 Score7.2 2021 - 22 Rank181/689CityMiltonAdd to compare",,,,,
"Crestwood
                     2021 - 22 Score5.6 2021 - 22 Rank443/689CityPeterboroughAdd to compare",,,,,
"Danforth
                     2021 - 22 Score6 2021 - 22 Rank378/689CityTorontoAdd to compare",,,,,
"Dante Alighieri
                     2021 - 22 Score3.1 2021 - 22 Rank641/689CityTorontoAdd to compare",,,,,
"David and Mary Thomson
                     2021 - 22 Score3.9 2021 - 22 Rank606/689CityTorontoAdd to compare",,,,,
"David Saint-Jacques
                     2021 - 22 Score7 2021 - 22 Rank210/689CityKitchenerAdd to compare",,,,,
"de Casselman
                     2021 - 22 Score5.9 2021 - 22 Rank394/689CityCasselmanAdd to compare",,,,,
"De La Salle
                     2021 - 22 Score7.5 2021 - 22 Rank138/689CityOttawaAdd to compare",,,,,
"de la Verendrye
                     2021 - 22 Score6.3 2021 - 22 Rank325/689CityThunder BayAdd to compare",,,,,
"de-Lamothe-Cadillac
                     2021 - 22 Score4.1 2021 - 22 Rank595/689CityWindsorAdd to compare",,,,,
"Delhi
                     2021 - 22 Score4.5 2021 - 22 Rank562/689CityDelhiAdd to compare",,,,,
"Denis Morris
                     2021 - 22 Score6 2021 - 22 Rank378/689CitySt CatharinesAdd to compare",,,,,
"Deslauriers
                     2021 - 22 Score2.6 2021 - 22 Rank652/689CityNepeanAdd to compare",,,,,
"Don Mills
                     2021 - 22 Score7.4 2021 - 22 Rank154/689CityTorontoAdd to compare",,,,,
"Donald A. Wilson
                     2021 - 22 Score8.4 2021 - 22 Rank36/689CityWhitbyAdd to compare",,,,,
"Downsview
                     2021 - 22 Score1.3 2021 - 22 Rank679/689CityTorontoAdd to compare",,,,,
"Dr G W Williams
                     2021 - 22 Score8.5 2021 - 22 Rank26/689CityAuroraAdd to compare",,,,,
"Dr John M Denison
                     2021 - 22 Score6.5 2021 - 22 Rank288/689CityNewmarketAdd to compare",,,,,
"Dr Norman Bethune
                     2021 - 22 Score7.4 2021 - 22 Rank154/689CityTorontoAdd to compare",,,,,
"Dr. Frank J. Hayden
                     2021 - 22 Score7.6 2021 - 22 Rank120/689CityBurlingtonAdd to compare",,,,,
"Dryden
                     2021 - 22 Score5.7 2021 - 22 Rank425/689CityDrydenAdd to compare",,,,,
"DSBN Academy
                     2021 - 22 Score7 2021 - 22 Rank210/689CitySt CatharinesAdd to compare",,,,,
"Dunbarton
                     2021 - 22 Score7.8 2021 - 22 Rank87/689CityPickeringAdd to compare",,,,,
"Dunnville
                     2021 - 22 Score2.6 2021 - 22 Rank652/689CityDunnvilleAdd to compare",,,,,
"E L Crossley
                     2021 - 22 Score7.6 2021 - 22 Rank120/689CityFonthillAdd to compare",,,,,
"E.J.Lajeunesse
                     2021 - 22 Score6.9 2021 - 22 Rank227/689CityWindsorAdd to compare",,,,,
"Earl Haig
                     2021 - 22 Score7.9 2021 - 22 Rank77/689CityTorontoAdd to compare",,,,,
,,,,,
,,,,,
Champlain,3.8,611/689,Chelmsford,,
Charlottenburgh and Lancaster,6.5,288/689,Williamstown,,
Chatham-Kent,6.4,305/689,Chatham,,
Chelmsford Valley,2,669/689,Chelmsford,,
Chippewa,4.2,587/689,North Bay,,
Christ the King,7.1,194/689,Georgetown,,
Cité des Jeunes,5.9,394/689,Kapuskasing,,
Clarington Central,5.9,394/689,Bowmanville,,
Clarke,6.6,273/689,Newcastle,,
Clarke Road,3.5,624/689,London,,
Cobourg,6.4,305/689,Cobourg,,
Cochrane,2.6,652/689,Cochrane,,
College Avenue,3.5,624/689,Woodstock,,
College Heights,0,685/689,Guelph,,
Collingwood,6.5,288/689,Collingwood,,
Collège Français,7.8,87/689,Toronto,,
Collège Notre-Dame,4.4,575/689,Sudbury,,
Colonel By,9.5,2/689,Gloucester,,
Confederation,5.8,409/689,Val Caron,,
Confédération,7.6,120/689,Welland,,
Cornwall,3.3,633/689,Cornwall,,
Corpus Christi,7.8,87/689,Burlington,,
Courtice,5.9,394/689,Courtice,,
Craig Kielburger,7.2,181/689,Milton,,
Crestwood,5.6,443/689,Peterborough,,
Danforth,6,378/689,Toronto,,
Dante Alighieri,3.1,641/689,Toronto,,
David and Mary Thomson,3.9,606/689,Toronto,,
David Saint-Jacques,7,210/689,Kitchener,,
de Casselman,5.9,394/689,Casselman,,
De La Salle,7.5,138/689,Ottawa,,
de la Verendrye,6.3,325/689,Thunder Bay,,
de-Lamothe-Cadillac,4.1,595/689,Windsor,,
Delhi,4.5,562/689,Delhi,,
Denis Morris,6,378/689,St Catharines,,
Deslauriers,2.6,652/689,Nepean,,
Don Mills,7.4,154/689,Toronto,,
Donald A. Wilson,8.4,36/689,Whitby,,
Downsview,1.3,679/689,Toronto,,
Dr G W Williams,8.5,26/689,Aurora,,
Dr John M Denison,6.5,288/689,Newmarket,,
Dr Norman Bethune,7.4,154/689,Toronto,,
Dr. Frank J. Hayden,7.6,120/689,Burlington,,
Dryden,5.7,425/689,Dryden,,
DSBN Academy,7,210/689,St Catharines,,
Dunbarton,7.8,87/689,Pickering,,
Dunnville,2.6,652/689,Dunnville,,
E L Crossley,7.6,120/689,Fonthill,,
E.J.Lajeunesse,6.9,227/689,Windsor,,
Earl Haig,7.9,77/689,Toronto,,
,,,,,
,,,,,
"A B Lucas
                Score:7.6Rank:120/689add_circleAdd to compare",,,,,
"A N Myer
                Score:7.5Rank:138/689add_circleAdd to compare",,,,,
"A Y Jackson
                Score:7.9Rank:77/689add_circleAdd to compare",,,,,
"A.Y. Jackson
                Score:8.2Rank:52/689add_circleAdd to compare",,,,,
"Abbey Park
                Score:8.5Rank:26/689add_circleAdd to compare",,,,,
"Acton
                Score:6Rank:378/689add_circleAdd to compare",,,,,
"Adam Scott
                Score:5.4Rank:471/689add_circleAdd to compare",,,,,
"Agincourt
                Score:8.3Rank:41/689add_circleAdd to compare",,,,,
,,,,,
,,,,,
"Earl of March
                     2021 - 22 Score9 2021 - 22 Rank8/689CityKanataAdd to compare",,,,,
"East Elgin
                     2021 - 22 Score4.6 2021 - 22 Rank552/689CityAylmerAdd to compare",,,,,
"East Northumberland
                     2021 - 22 Score6.5 2021 - 22 Rank288/689CityBrightonAdd to compare",,,,,
"East York
                     2021 - 22 Score5.1 2021 - 22 Rank505/689CityTorontoAdd to compare",,,,,
"Eastdale
                     2021 - 22 Score2.1 2021 - 22 Rank666/689CityWellandAdd to compare",,,,,
"Eastdale
                     2021 - 22 Score5.3 2021 - 22 Rank480/689CityOshawaAdd to compare",,,,,
"Eastview
                     2021 - 22 Score6.9 2021 - 22 Rank227/689CityBarrieAdd to compare",,,,,
"Eastwood
                     2021 - 22 Score6.1 2021 - 22 Rank357/689CityKitchenerAdd to compare",,,,,
"Echo du Nord
                     2021 - 22 Score4.5 2021 - 22 Rank562/689CityKapuskasingAdd to compare",,,,,
"Eden
                     2021 - 22 Score8.3 2021 - 22 Rank41/689CitySt CatharinesAdd to compare",,,,,
"Elliot Lake
                     2021 - 22 Score3.7 2021 - 22 Rank615/689CityElliot LakeAdd to compare",,,,,
"Elmira
                     2021 - 22 Score7.1 2021 - 22 Rank194/689CityElmiraAdd to compare",,,,,
"Elmvale
                     2021 - 22 Score5.1 2021 - 22 Rank505/689CityElmvaleAdd to compare",,,,,
"Embrun
                     2021 - 22 Score5.2 2021 - 22 Rank496/689CityEmbrunAdd to compare",,,,,
"Emery
                     2021 - 22 Score2.4 2021 - 22 Rank657/689CityTorontoAdd to compare",,,,,
"Emily Carr
                     2021 - 22 Score7.7 2021 - 22 Rank102/689CityWoodbridgeAdd to compare",,,,,
"Englehart
                     2021 - 22 Score6.5 2021 - 22 Rank288/689CityEnglehartAdd to compare",,,,,
