link,strikethrough_price,sold_price,property_type,address,bedrooms,bathrooms,garages
/on/toronto-real-estate/ph2012-250-scarlett-rd/home/10QqypNPRkD3LGlV/,"$699,000","$645,000",Condo Apt,"PH2012 - 250 Scarlett Rd , Toronto - Rockcliffe-Smythe",,,
/on/north-york-real-estate/403-160-the-donway-w/home/GMnKYqpNp863w1Qr/,"$424,900","$415,000",Co-Ownership Apt,"403 - 160 The Donway W , North York - Banbury-Don Mills",,,
/on/toronto-real-estate/210-99-coleman-ave/home/0MWBVyZo9pK7Kemj/,"$869,000","$861,000",Condo Apt,"210 - 99 Coleman Ave , Toronto - East End-Danforth",,,
/on/north-york-real-estate/1902-35-empress-ave/home/BGMnKYqxeG63w1Qr/,"$699,999","$765,000",Condo Apt,"1902 - 35 Empress Ave , North York - Willowdale East",,,
/on/toronto-real-estate/127-bellwoods-ave/home/510Qqypwx2PYLGlV/,"$1,799,900","$1,750,000",Semi-Detached,"127 Bellwoods Ave , Toronto - Trinity-Bellwoods",,,
/on/north-york-real-estate/605-20-forest-manor-rd-e/home/ZEXrx30k8Ap7OklN/,"$475,000","$469,000",Condo Apt,"605 - 20 Forest Manor Rd E , North York - Henry Farm",,,
/on/etobicoke-real-estate/704-61-richview-rd/home/6zqW7dGAQ61y5eZE/,"$499,000","$499,000",Condo Apt,"704 - 61 Richview Rd , Etobicoke - Humber Heights",,,
/on/mississauga-real-estate/1703-3985-grand-park-dr/home/a6zqW7d1Nz135eZE/,"$518,500","$505,000",Condo Apt,"1703 - 3985 GRAND PARK Dr , Mississauga - City Centre",,,
/on/toronto-real-estate/77-chestnut-park-rd/home/gJRv53K624x7VPW4/,"$14,995,000","$13,575,000",Detached,"77 Chestnut Park Rd , Toronto - Rosedale-Moore Park",,,
/on/vaughan-real-estate/36-redondo-dr/home/0MWBVyZWQJ27Kemj/,"$1,749,900","$1,675,000",Detached,"36 Redondo Dr , Vaughan - Beverley Glen",,,
/on/toronto-real-estate/201-54-sidney-belsey-cres/home/BGMnKYq0ZZ53w1Qr/,"$660,000","$700,000",Condo Townhouse,"201 - 54 Sidney Belsey Cres , Toronto - Weston",,,
/on/toronto-real-estate/2711-361-front-st-w/home/x9w8o3mjaxXYGKjm/,"$679,900","$635,000",Condo Apt,"2711 - 361 Front St W , Toronto - Waterfront Communities C1",,,
/on/toronto-real-estate/82-glenmore-rd/home/mLzQ1y5GLj93qdeK/,"$1,299,000","$1,250,000",Detached,"82 Glenmore Rd , Toronto - Woodbine Corridor",,,
/on/north-york-real-estate/360-glen-park-ave/home/0Zaw5Yozvam3n961/,"$1,829,000","$1,770,000",Detached,"360 Glen Park Ave , North York - Yorkdale-Glen Park",,,
/on/north-york-real-estate/44-parkchester-rd/home/RdXze3em2vz38m9K/,"$1,289,000","$1,205,000",Detached,"44 Parkchester Rd , North York - Brookhaven-Amesbury",,,
/on/north-york-real-estate/316-cherokee-blvd/home/10QqypNPKm53LGlV/,"$1,279,900","$1,210,000",Semi-Detached,"316 Cherokee Blvd , North York - Pleasant View",,,
/on/toronto-real-estate/1105-25-broadway-ave/home/5xLkv3V6K8Z3DBNr/,"$688,000","$660,000",Co-Op Apt,"1105 - 25 Broadway Ave , Toronto - Mount Pleasant West",,,
/on/toronto-real-estate/812-1-yorkville-ave/home/0ZxwR7M6R1B3KabB/,"$685,000","$681,800",Condo Apt,"812 - 1 Yorkville Ave , Toronto - Annex",,,
/on/toronto-real-estate/3209-219-fort-york-blvd/home/RdXze3eNnbMY8m9K/,"$1,147,000","$1,110,000",Condo Apt,"3209 - 219 Fort York Blvd , Toronto - Niagara",,,
/on/markham-real-estate/1912-12-gandhi-lane/home/J6Em7bnaKgj7XBeq/,"$699,000","$828,000",Condo Apt,"1912 - 12 Gandhi Lane , Markham - Commerce Valley",,,
/on/scarborough-real-estate/ph207-300-alton-towers-circ/home/BXeEn7X4VKv7rPo8/,"$556,800","$540,000",Condo Apt,"PH207 - 300 Alton Towers Circ , Scarborough - Milliken",,,
/on/toronto-real-estate/606-508-wellington-st-w/home/BXeEn7XNvn0YrPo8/,"$489,900","$475,000",Condo Apt,"606 - 508 Wellington St W , Toronto - Waterfront Communities C1",,,
