,price,address,mls,sqft,Community,beds,baths,Building Type,Air Conditioning,Heating Type,lat,long,Frontage,Land Depth,no amenity,gym,pool,party room,security,parking,balcony,indoor pool,recreation,sauna,storage - locker,guest suites,outdoor pool,bbqs allowed,bike storage,carpet free,in suite laundry,media room,tennis court,car wash,squash/racquet court
3651,1049950.0,"1811 - 100 Quebec Ave , Toronto - High Park North",W10422062,1099.5,High Park North,3,2,Condo Apt,Central Air,Forced Air,43.6554742,-79.4683129,,,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
3691,779000.0,"132 - 50 Carnation Ave , Etobicoke - Long Branch",W9506681,1099.5,Long Branch,2,3,Condo Townhouse,Central Air,Forced Air,43.5933961,-79.5382607,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3694,1845000.0,"710 - 2855 Bloor St W , Etobicoke - Stonegate-Queensway",W9768326,1899.5,Stonegate-Queensway,2,3,Condo Apt,Central Air,Forced Air,43.6496577,-79.499827,,,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
3696,4898000.0,"21 Golfcrest Rd , Etobicoke - Princess-Rosethorn",W9373256,4250.0,Princess-Rosethorn,4,6,Detached,Central Air,Forced Air,43.6568222,-79.53182249999999,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,1698800.0,"1 Shadwell Pl , North York - Banbury-Don Mills",C9508994,1642.18041043,Banbury-Don Mills,3,2,Detached,Central Air,Forced Air,43.7411047,-79.3549456,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3706,850999.0,"2 - 50 Verne Cres , Scarborough - Malvern",E8396142,1299.5,Malvern,4,3,Condo Townhouse,Window Unit,Baseboard,43.7963739,-79.2374509,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3708,1399900.0,"262 Havelock St , Toronto - Dufferin Grove",C9514032,1750.0,Dufferin Grove,3,2,Semi-Detached,Central Air,Forced Air,43.6597714,-79.4323962,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3711,484900.0,"816 - 68 Grangeway Ave , Scarborough - Woburn",E10391359,649.5,Woburn,1,1,Condo Apt,Central Air,Forced Air,43.773685,-79.2496044,,,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3716,1900000.0,"24 Nordale Cres , North York - Brookhaven-Amesbury",W9416411,4250.0,Brookhaven-Amesbury,5,4,Detached,Central Air,Forced Air,43.701664,-79.4923068,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3718,1280000.0,"2314 - 55 Harbour Sq , Toronto - Waterfront Communities C1",C9346803,1499.5,Waterfront Communities C1,2,2,Condo Apt,Central Air,Forced Air,43.640163,-79.37881209999999,,,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
