,price,address,mls,sqft,Community,beds,baths,Air Conditioning,Heating,Party/Meeting Room,Visitor Parking,Gym,Concierge,Balcony,Indoor Pool,Rooftop Deck/Garden,Party Room,Exercise Room,Storage - Locker,Exercise Centre,Security/Concierge,Visitor Parking,Guest Suites,Sauna,Outdoor Pool,Bbqs Allowed,Concierge,Carpet Free,In suite Laundry
64,799000.0,"211 - 5444 YONGE STREETToronto (Willowdale West), Ontario M2N6J4",C10442496,1299.5,Willowdale West,3.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,798000.0,"5 - 745 STEELES AVENUE WToronto (Newtonbrook West), Ontario M2R2S5",C10441978,1299.5,Newtonbrook West,4.0,3.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,628000.0,"3608 - 101 PETER STREET SToronto (Waterfront Communities), Ontario M5V0G6",C10441974,549.5,Waterfront Communities C1,1.0,1.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,508340.0,"115 - 360 RIDELLE AVENUEToronto (Briar Hill-Belgravia), Ontario M6B1K1",W10441935,1099.5,Briar Hill-Belgravia,2.0,2.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1295000.0,"22 - 189 LA ROSE AVENUEToronto (Willowridge-Martingrove-Richview), Ontario M9P3W1",W10441876,2374.5,Willowridge-Martingrove-Richview,4.0,5.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1199888.0,"2 DELBASSO COURTToronto (Kingsview Village-The Westway), Ontario M9R1W6",W10441868,1300.0,Kingsview Village-The Westway,5.0,4.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,699800.0,"46 - 341 MILITARY TRAILToronto (Morningside), Ontario M1E4E4",E10441929,1099.5,Morningside,3.0,2.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,529000.0,"610 - 50 BRIAN HARRISON WAYToronto (Bendale), Ontario M1P5J4",E10441824,649.5,Bendale,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,848000.0,"7702 - 55 COOPER STREETToronto (Waterfront Communities), Ontario M5E0G1",C10441880,649.5,Waterfront Communities C8,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,986000.0,"86 VILLAGE GREENWAYToronto (Henry Farm), Ontario M2J1K8",C10441862,1299.5,Henry Farm,4.0,2.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,509000.0,"909 - 1 REAN DRIVEToronto (Bayview Village), Ontario M2K3C1",C10441857,649.5,Bayview Village,1.0,1.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1033000.0,"708 - 3018 YONGE STREETToronto (Lawrence Park South), Ontario M4N0A5",C10441783,849.5,Lawrence Park South,2.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,679000.0,"516 - 50 GEORGE BUTCHART DRIVEToronto (Downsview-Roding-CFB), Ontario M3K0C9",W10441782,749.5,Downsview-Roding-CFB,2.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,499999.0,"1612 - 121 LING ROADToronto (West Hill), Ontario M1E4Y2",E10441745,949.5,West Hill,2.0,2.0,Wall unit,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,499000.0,"616 - 120 HARRISON GARDEN BOULEVARDToronto (Willowdale East), Ontario M2N0H1",C10441780,549.5,Willowdale East,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,570000.0,"220 - 2020 BATHURST STREETToronto (Humewood-Cedarvale), Ontario M5P0A6",C10441631,549.5,Humewood-Cedarvale,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,829000.0,"4202 - 2230 LAKE SHORE BOULEVARD WToronto (Mimico), Ontario M8V0B2",W10441623,849.5,Mimico,2.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1499000.0,"26 SAYBROOK AVENUEToronto (Stonegate-Queensway), Ontario M8Z2V4",W10441609,1300.0,Stonegate-Queensway,3.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1099000.0,"3038 ISLINGTON AVENUEToronto (Humber Summit), Ontario M9L0A6",W10441582,2250.0,Humber Summit,3.0,4.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,499000.0,"808 - 15 LONDON GREEN COURTToronto (Glenfield-Jane Heights), Ontario M3N1K4",W10441563,1099.5,Glenfield-Jane Heights,2.0,2.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
