,price,address,mls,sqft,Community,beds,baths,Building Type,Air Conditioning,Heating Type,No amenity,Party/Meeting Room,Gym,Rooftop Deck/Garden,Balcony,Pool,Exercise Room,Sauna,Guest Suites,Party Room,Storage - Locker,Exercise Centre,Bbqs Allowed,Security/Concierge,Concierge,Visitor Parking,Recreation Room,geometry,ROUTE_NAME,RID,distance_to_subway,School Name,EQAO % at Levels 3/4,OSSLT % Successful,Fraiser Score,distance_to_school,total_area_within_800m,Neighbourhood,CRIME_PCA1,CRIME_PCA2
1331,1100000.0,19 Gladsmore Crescent,W9808094,1300.0,Rexdale-Kipling,3.0,2.0,Detached,Central Air,Forced Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5297422.785052926 10527088.328677086),LINE 1 (YONGE-UNIVERSITY),1.0,10326.909887838461,Thistletown Collegiate Institute,6.0,77.0,3.9,1064.4696420072607,0.0707875236188176,Rexdale-Kipling,1.955377859031687,-2.628889663771752
1332,2599000.0,45 Lanark Avenue,C9805447,2750.0,Oakwood Village,5.0,5.0,Detached,Central Air,Forced Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5302939.744391623 10513394.062680935),LINE 1 (YONGE-UNIVERSITY),1.0,674.1881458554914,Forest Hill Collegiate Institute,65.0,91.0,6.9,2555.120847436917,0.2107850855423215,Oakwood Village,-1.1876528031623421,-0.3751593125629995
1333,2195000.0,195 Upper Canada Drive,C9804434,1877.1046807099997,St. Andrew-Windfields,4.0,3.0,Detached,Central Air,Forced Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5293460.251317335 10506891.505720627),LINE 4 (SHEPPARD),4.0,782.8918238740774,Earl Haig Secondary School,68.0,92.0,7.9,2086.8506010930746,0.0,St.Andrew-Windfields,-1.0397799145702906,0.3549815968768245
1334,4995000.0,216 Hillhurst Boulevard,C9802753,3699.25211719,Bedford Park-Nortown,6.0,4.0,Detached,Central Air,Forced Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5301062.664698572 10511162.075200072),LINE 1 (YONGE-UNIVERSITY),1.0,1850.7593388671537,Forest Hill Collegiate Institute,65.0,91.0,6.9,1124.2343225223983,0.08126937737800301,Bedford Park-Nortown,-1.47122828389477,0.41909546997903735
1335,2200000.0,503 Windermere Avenue,W9785010,13994.038750999998,Runnymede-Bloor West Village,4.0,4.0,Detached,Central Air,Forced Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5309508.018621396 10518756.45802512),LINE 2 (BLOOR - DANFORTH),2.0,182.6139662054086,Western Technical-Commercial School,55.0,89.0,6.8,1077.6049788153452,0.015285136743657899,Runnymede-Bloor West Village,0.2389573879380881,0.305040930003526
1336,6285000.0,31 Twyford Road,W9781670,3596.8594420500003,Princess-Rosethorn,5.0,7.0,Detached,Central Air,Forced Air,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,POINT (-5306585.464241019 10525309.911711317),LINE 2 (BLOOR - DANFORTH),2.0,3620.916667067964,Richview Collegiate Institute,53.0,92.0,7.5,2026.5699521249644,0.3462913650233382,Princess-Rosethorn,0.19763491809714304,-0.625277706057201
1337,3680000.0,41 Glentworth Road,C9781715,5000.0,Don Valley Village,6.0,8.0,Detached,Central Air,Forced Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5291440.112168233 10502337.179819802),LINE 4 (SHEPPARD),4.0,437.57104705731103,Georges Vanier Secondary School,37.0,81.0,5.6,1500.82509554546,0.29734994534235,Don Valley Village,-1.741835683976669,0.43460415302916566
1338,1225000.0,54 Bimbrok Road,E9779652,1582.0242024999998,Eglinton East,4.0,2.0,Detached,Central Air,Forced Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5298649.371213388 10491010.314879185),LINE 3 (SCARBOROUGH),3.0,1337.7177616989043,R H King Academy,63.0,88.0,7.4,3031.4808391450197,0.04987442760254,Eglinton East,-0.8100736787698598,-0.33315776669209685
1339,3129000.0,14 Rollscourt Drive,C9778085,2250.0,St. Andrew-Windfields,4.0,3.0,Detached,Central Air,Forced Air,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,POINT (-5294902.323592709 10505379.51402413),LINE 4 (SHEPPARD),4.0,2487.3730713321593,York Mills Collegiate Institute,71.0,92.0,8.3,763.485303409336,3.7601022095350345,St.Andrew-Windfields,-1.0397799145702906,0.3549815968768245
1340,9990000.0,185 Dawlish Avenue,C9770523,3253.12505945,Lawrence Park South,6.0,8.0,Detached,Central Air,Other,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,POINT (-5299530.709782437 10507119.168873789),LINE 1 (YONGE-UNIVERSITY),1.0,1270.1436790754938,Northern Secondary School,67.0,91.0,7.7,1808.336888578027,0.004985946024306,Lawrence Park South,-1.2763581832722568,0.5024338674042396
