,Neighbourhood,Type,Count
456,Wychwood,Condo Apt,1
457,Wychwood,Detached,7
458,Wychwood,Freehold Townhouse,5
459,Wychwood,Semi-Detached,11
460,Wychwood,Store W/Apt/Office,1
461,Yonge-Bay Corridor,Condo Apt,16
462,Yonge-Doris,Condo Apt,34
463,Yonge-Doris,Detached,2
464,Yonge-Eglinton,Condo Apt,2
465,Yonge-Eglinton,Condo Townhouse,1
466,Yonge-Eglinton,Detached,17
467,Yonge-Eglinton,Freehold Townhouse,1
468,Yonge-Eglinton,Semi-Detached,3
469,York University Heights,Condo Apt,8
470,York University Heights,Detached,8
471,York University Heights,Semi-Detached,3
472,Yorkdale-Glen Park,Condo Apt,4
473,Yorkdale-Glen Park,Condo Townhouse,4
474,Yorkdale-Glen Park,Detached,18
475,Yorkdale-Glen Park,Investment,1
