link,strikethrough_price,sold_price,property_type,address
/on/toronto-real-estate/148-moore-ave/home/02Zpj39zaxgYDrK8/,"$1,899,999","$1,848,000",Semi-Detached,"148 Moore Ave , Toronto - Rosedale-Moore Park"
/on/toronto-real-estate/69-petman-ave/home/damgL7Avxnm3Z1MW/,"$2,095,000","$2,060,000",Detached,"69 Petman Ave , Toronto - Mount Pleasant East"
/on/toronto-real-estate/28-bracken-ave/home/02Zpj39EjGk3DrK8/,"$5,575,000","$5,125,000",Detached,"28 Bracken Ave , Toronto - The Beaches"
/on/toronto-real-estate/765-kingston-rd/home/B5bO3xX2RpW3kWVP/,"$799,900","$800,000",Detached,"765 Kingston Rd , Toronto - The Beaches"
/on/north-york-real-estate/204-roywood-dr/home/VgAaOyLpqlmyGxMb/,"$1,099,000","$1,050,000",Semi-Detached,"204 Roywood Dr , North York - Parkwoods-Donalda"
/on/toronto-real-estate/33-welland-ave/home/obqB176rOnv7ZajD/,"$4,495,000","$4,300,000",Detached,"33 Welland Ave , Toronto - Rosedale-Moore Park"
/on/toronto-real-estate/347-lansdowne-ave/home/BXeEn7XOPaqyrPo8/,"$1,399,900","$1,368,000",Semi-Detached,"347 Lansdowne Ave , Toronto - Dufferin Grove"
/on/north-york-real-estate/57-a-hopperton-dr/home/0A9X3jP2RoayvgxV/,"$2,880,000","$3,080,000",Detached,"57 A Hopperton Dr , North York - St. Andrew-Windfields"
/on/toronto-real-estate/83-rogers-rd/home/6VLaGyGEKDK3W1ZD/,"$1,179,000","$1,150,000",Semi-Detached,"83 Rogers Rd , Toronto - Oakwood Village"
/on/toronto-real-estate/25-budgell-terr/home/gAaOyL8dM9ZyGxMb/,"$1,399,000","$1,318,000",Freehold Townhouse,"25 Budgell Terr , Toronto - High Park-Swansea"
/on/scarborough-real-estate/67-seminole-ave/home/XeEn7X6N2JqYrPo8/,"$889,999","$875,000",Detached,"67 Seminole Ave , Scarborough - Bendale"
/on/north-york-real-estate/43e-green-belt-dr/home/jJKdOYrlw4K754lW/,"$1,299,000","$1,275,000",Freehold Townhouse,"43E Green Belt Dr , North York - Banbury-Don Mills"
/on/toronto-real-estate/250-campbell-ave/home/x9w8o3mXVRJ7GKjm/,"$1,089,000","$999,999",Semi-Detached,"250 Campbell Ave , Toronto - Dovercourt-Wallace Emerson-Junction"
/on/toronto-real-estate/127-sherwood-ave/home/JjAXw7QWnkbYQOzg/,"$3,495,000","$3,250,000",Detached,"127 Sherwood Ave , Toronto - Mount Pleasant East"
/on/toronto-real-estate/57-branstone-rd/home/JRv53KDqJ9XYVPW4/,"$1,198,000","$1,145,000",Detached,"57 Branstone Rd , Toronto - Caledonia-Fairbank"
/on/toronto-real-estate/161-robina-ave/home/BGMnKYqz5Wdyw1Qr/,"$1,595,000","$1,570,000",Detached,"161 Robina Ave , Toronto - Oakwood Village"
/on/scarborough-real-estate/98-flora-dr/home/jJKdOYrzz8bY54lW/,"$1,080,000","$1,049,900",Detached,"98 Flora Dr , Scarborough - Wexford-Maryvale"
/on/toronto-real-estate/81-auburn-ave/home/wJKR7P8dWN17XeLP/,"$1,099,000","$990,000",Detached,"81 Auburn Ave , Toronto - Corso Italia-Davenport"
/on/toronto-real-estate/508-harvie-ave/home/0Zaw5Yo2e823n961/,"$839,000","$870,000",Detached,"508 Harvie Ave , Toronto - Caledonia-Fairbank"
/on/toronto-real-estate/280-roselawn-ave/home/L5VXv3lllLO3j2q8/,"$1,549,900","$1,510,000",Semi-Detached,"280 Roselawn Ave , Toronto - Yonge-Eglinton"
/on/scarborough-real-estate/138-pilkington-dr/home/XeEn7X6N0bEYrPo8/,"$925,000","$915,000",Freehold Townhouse,"138 Pilkington Dr , Scarborough - Clairlea-Birchmount"
/on/toronto-real-estate/39-woburn-ave/home/bqB176WB50M3ZajD/,"$1,288,000","$1,475,280",Semi-Detached,"39 Woburn Ave , Toronto - Lawrence Park North"
/on/scarborough-real-estate/71a-natal-ave/home/L5VXv3lAJvAYj2q8/,"$1,449,000","$1,420,000",Detached,"71A Natal Ave , Scarborough - Birchcliffe-Cliffside"
/on/toronto-real-estate/242-forest-hill-rd/home/jAXw7QwlMwMYQOzg/,"$5,300,000","$4,900,000",Detached,"242 Forest Hill Rd , Toronto - Forest Hill South"
/on/north-york-real-estate/230-reiner-rd/home/JRv53KDqLExYVPW4/,"$2,239,000","$2,130,000",Detached,"230 Reiner Rd , North York - Clanton Park"
/on/toronto-real-estate/1-riverdale-ave/home/B5bO3xX2mvd3kWVP/,"$2,099,000","$2,100,000",Semi-Detached,"1 Riverdale Ave , Toronto - North Riverdale"
/on/toronto-real-estate/1-auburn-ave/home/0J6Em7b5Z8ByXBeq/,"$829,000","$765,000",Semi-Detached,"1 Auburn Ave , Toronto - Corso Italia-Davenport"
/on/scarborough-real-estate/39-heathfield-dr/home/0Zaw5YoBDQV3n961/,"$1,399,999","$1,345,000",Detached,"39 Heathfield Dr , Scarborough - Scarborough Village"
/on/toronto-real-estate/123-415-jarvis-st/home/gJRv53KNVpo7VPW4/,"$649,000","$617,430",Condo Townhouse,"123 - 415 Jarvis St , Toronto - Cabbagetown-South St. James Town"
/on/toronto-real-estate/36-ellsworth-ave/home/MWBVyZ9LmEXYKemj/,"$1,275,000","$1,500,000",Semi-Detached,"36 Ellsworth Ave , Toronto - Wychwood"
/on/scarborough-real-estate/31-annis-rd/home/5VXv3lXKpPw3j2q8/,"$1,699,000","$1,699,000",Detached,"31 Annis Rd , Scarborough - Scarborough Village"
/on/north-york-real-estate/6-high-point-rd/home/aD6p781prwz3wRQr/,"$19,880,000","$17,000,000",Detached,"6 High Point Rd , North York - Bridle Path-Sunnybrook-York Mills"
/on/scarborough-real-estate/8-bethune-blvd/home/JjAXw7Q4NQpyQOzg/,"$999,000","$1,200,000",Detached,"8 Bethune Blvd , Scarborough - Guildwood"
/on/toronto-real-estate/1052-lansdowne-ave/home/dXze3eKERkLy8m9K/,"$999,900","$1,195,000",Freehold Townhouse,"1052 Lansdowne Ave , Toronto - Dovercourt-Wallace Emerson-Junction"
/on/toronto-real-estate/587-mcroberts-ave/home/dXze3eKEdKpy8m9K/,"$980,000","$960,000",Semi-Detached,"587 McRoberts Ave , Toronto - Caledonia-Fairbank"
/on/toronto-real-estate/722b-kingston-rd/home/BGMnKYqmQRbYw1Qr/,"$1,189,000","$1,160,000",Semi-Detached,"722B Kingston Rd , Toronto - East End-Danforth"
/on/toronto-real-estate/4-cluny-ave/home/kbEDRYaXV8131VaB/,"$8,750,000","$7,500,000",Detached,"4 Cluny Ave , Toronto - Rosedale-Moore Park"
/on/north-york-real-estate/35-wilket-rd/home/b1DBW7Rz4OD7qlAp/,"$11,880,000","$10,400,000",Detached,"35 Wilket Rd , North York - Bridle Path-Sunnybrook-York Mills"
/on/north-york-real-estate/44-hesketh-crt/home/b1DBW7RrAwk7qlAp/,"$1,399,000","$1,400,000",Detached,"44 Hesketh Crt , North York - Victoria Village"
/on/toronto-real-estate/46-ridge-hill-dr/home/DO1w3WqVnkoy8Jg0/,"$2,899,000","$2,900,000",Detached,"46 Ridge Hill Dr , Toronto - Forest Hill North"
/on/scarborough-real-estate/77-john-bell-cres/home/4KAX7NOdnJz3eRPJ/,"$980,000","$963,000",Freehold Townhouse,"77 John Bell Cres , Scarborough - Clairlea-Birchmount"
/on/toronto-real-estate/801-63-ruskin-ave/home/0MWBVyZAKW5YKemj/,"$689,000","$675,000",Condo Townhouse,"801 - 63 Ruskin Ave , Toronto - Dovercourt-Wallace Emerson-Junction"
/on/toronto-real-estate/334-cleveland-st/home/6VLaGyG2w9BYW1ZD/,"$2,159,000","$2,100,000",Detached,"334 Cleveland St , Toronto - Mount Pleasant East"
/on/toronto-real-estate/8-keystone-ave/home/AKv53DDP4lr3MnxB/,"$899,000","$1,150,000",Detached,"8 Keystone Ave , Toronto - East End-Danforth"
/on/toronto-real-estate/10-stibbard-ave/home/aQmD7znOmP27J9Bo/,"$1,300,000","$1,801,000",Detached,"10 Stibbard Ave , Toronto - Mount Pleasant East"
/on/toronto-real-estate/75-chisholm-ave/home/EeVbOYEk2ed7x2P0/,"$1,019,000","$1,185,000",Semi-Detached,"75 Chisholm Ave , Toronto - Woodbine-Lumsden"
/on/toronto-real-estate/228-glenwood-cres/home/J6Em7bnXdXd7XBeq/,"$974,900","$930,000",Detached,"228 Glenwood Cres , Toronto - O'Connor-Parkview"
/on/north-york-real-estate/197-valley-rd/home/0ZxwR7M9v897KabB/,"$2,600,000","$1,700,000",Detached,"197 Valley Rd , North York - Bridle Path-Sunnybrook-York Mills"
/on/north-york-real-estate/6-chieftain-cres/home/nbq6y10rbb9Yo9DA/,"$4,550,000","$4,000,000",Detached,"6 Chieftain Cres , North York - St. Andrew-Windfields"
/on/scarborough-real-estate/38-stamford-sq-n/home/jAXw7QwEoOMYQOzg/,"$799,900","$950,000",Detached,"38 Stamford Sq N , Scarborough - Clairlea-Birchmount"
/on/toronto-real-estate/508-rushton-rd/home/x9w8o3mjbQjYGKjm/,"$1,695,000","$1,765,000",Detached,"508 Rushton Rd , Toronto - Humewood-Cedarvale"
/on/toronto-real-estate/124-woodmount-ave/home/5xLkv3V446ZyDBNr/,"$999,000","$1,200,000",Semi-Detached,"124 Woodmount Ave , Toronto - East York"
/on/north-york-real-estate/136-spalding-rd/home/obqB176dgZwYZajD/,"$1,230,000","$1,230,000",Detached,"136 Spalding Rd , North York - Downsview-Roding-CFB"
/on/toronto-real-estate/736-balliol-st/home/BGMnKYqepLjYw1Qr/,"$2,695,000","$2,430,000",Detached,"736 Balliol St , Toronto - Mount Pleasant East"
/on/north-york-real-estate/6-bombay-ave/home/damgL7A24On3Z1MW/,"$1,999,999","$1,950,000",Detached,"6 Bombay Ave , North York - Lansing-Westgate"
/on/toronto-real-estate/12-plains-rd/home/knbq6y1XjvjYo9DA/,"$1,549,000","$1,525,000",Detached,"12 Plains Rd , Toronto - East York"
/on/toronto-real-estate/1627-woodbine-heights-blvd/home/xLkv3V9dzVe7DBNr/,"$899,000","$920,000",Detached,"1627 Woodbine Heights Blvd , Toronto - O'Connor-Parkview"
/on/toronto-real-estate/42-coxwell-ave/home/DnM697ke5WOYbmwe/,"$799,999","$1,025,000",Semi-Detached,"42 Coxwell Ave , Toronto - Greenwood-Coxwell"
/on/toronto-real-estate/24-parkview-hill-cres/home/ZEXrx30m4pYOklNq/,"$1,999,999","$2,075,000",Detached,"24 Parkview Hill Cres , Toronto - O'Connor-Parkview"
/on/toronto-real-estate/639-caledonia-rd/home/ZNkKJ3J8G66yd4V6/,"$1,179,900","$1,150,000",Detached,"639 Caledonia Rd , Toronto - Briar Hill-Belgravia"
/on/toronto-real-estate/125-macpherson-ave/home/damgL7AlKp9yZ1MW/,"$2,995,000","$2,961,360",Semi-Detached,"125 Macpherson Ave , Toronto - Annex"
